rate,pop_idx,pop_name,n_trials_with_both_peaks,f0_hz_mean,f0_hz_std,flow_hz_mean,flow_hz_std,flow_over_f0_mean,flow_over_f0_std,flow_over_f0_sem,freq_resolution_hz_mean,consistent_with_0.5_subharmonic
05.0,0,L23E,10.0,77.734375,2.4228898523344267,39.16015625,2.8219107962499783,0.5036605048944638,0.0312908874671869,0.009895047440432785,0.244140625,False
05.0,1,L23I,10.0,78.3935546875,2.2565955520010386,38.1591796875,1.9668099669065264,0.4872441856617356,0.030775672969228826,0.009732122310724017,0.244140625,False
05.0,2,L4E,10.0,78.80859375,1.95921900856825,39.208984375,1.8953029463554214,0.4978623795639467,0.028567716657260614,0.009033905218727533,0.244140625,True
05.0,3,L4I,10.0,79.1259765625,2.401612540099943,39.0625,1.3810679320049757,0.4940830779938241,0.02291895736728423,0.007247610687691441,0.244140625,False
05.0,4,L5E,10.0,79.2724609375,2.8519089951324657,39.2333984375,2.339026318054165,0.4956507317762827,0.03727925622288403,0.01178873591413192,0.244140625,False
05.0,5,L5I,10.0,79.5166015625,1.3668483737390469,39.599609375,2.4918827095058123,0.49832260265875306,0.035603576661852945,0.011258839509986985,0.244140625,True
05.0,6,L6E,10.0,78.22265625,2.5688317287176634,39.3310546875,2.2210983242328175,0.5032340834910823,0.03172655339051568,0.010032817102096707,0.244140625,False
05.0,7,L6I,10.0,80.322265625,2.596526063402314,40.576171875,2.917908903521344,0.5058629509955901,0.04283884769037832,0.013546833103863913,0.244140625,False
05.25,0,L23E,9.0,78.09787326388889,1.4517873351978574,38.57421875,1.906799237281898,0.49386247795785426,0.02113590394103661,0.0070453013136788705,0.244140625,False
05.25,1,L23I,10.0,79.1015625,2.518845628343451,39.6240234375,2.578738361183833,0.5011030425399461,0.031859552630403846,0.010074875154608481,0.244140625,True
05.25,2,L4E,10.0,78.076171875,1.9760482045281496,38.8916015625,2.112909816740118,0.49833430153217817,0.028192579273920076,0.008915276362044353,0.244140625,True
05.25,3,L4I,10.0,77.783203125,2.2965950424032604,39.599609375,1.4411421628371521,0.509403201704526,0.02164462989198352,0.00684463295700322,0.244140625,False
05.25,4,L5E,10.0,80.517578125,2.0677620394735996,39.84375,1.95921900856825,0.4954204345782783,0.0328928856626299,0.01040164375094073,0.244140625,False
05.25,5,L5I,10.0,79.7607421875,2.699198846518212,38.9892578125,2.0621494290687816,0.48927333648421334,0.029494532937590964,0.009326990260564435,0.244140625,False
05.25,6,L6E,10.0,79.0771484375,3.0350562948850226,38.818359375,2.0361321619786463,0.4916244759820157,0.03313675005897042,0.010478760444206538,0.244140625,False
05.25,7,L6I,10.0,79.1748046875,2.347505174946433,38.9892578125,2.6346331852858866,0.49269653740421526,0.034275658760106506,0.010838914998463942,0.244140625,False
05.51,0,L23E,9.0,79.02018229166667,2.053540507966397,39.876302083333336,2.3385307691245134,0.5049112394400534,0.0316449949199872,0.010548331639995733,0.244140625,False
05.51,1,L23I,10.0,78.8330078125,2.6431660260957157,39.3310546875,2.135978562776493,0.49903708293035737,0.0246742068328558,0.007802669304991387,0.244140625,True
05.51,2,L4E,10.0,78.8330078125,1.6893010202683048,40.52734375,1.6357219435418116,0.5145081753597858,0.027928858906185357,0.008831880659302462,0.244140625,False
05.51,3,L4I,10.0,78.5888671875,2.120419071211388,37.841796875,2.0587745183387884,0.48199173103942794,0.032354276929149405,0.010231320714395035,0.244140625,False
05.51,4,L5E,10.0,79.638671875,2.752047152477522,40.087890625,1.614530829119433,0.5038511001401795,0.02515780485422525,0.00795559642693921,0.244140625,False
05.51,5,L5I,10.0,77.783203125,1.5872270324394397,39.990234375,2.0322252850271627,0.5143150642081747,0.02805320302131491,0.008871201721047222,0.244140625,False
05.51,6,L6E,10.0,76.8798828125,1.4069600137792853,40.478515625,1.91822663002423,0.5265738988581672,0.024496115037699173,0.007746351734463078,0.244140625,False
05.51,7,L6I,10.0,79.1259765625,2.4802946628679323,40.3564453125,2.1097730724085006,0.510324796982393,0.02828034463078498,0.00894303020477941,0.244140625,False
05.76,0,L23E,10.0,79.00390625,2.3870911253086557,39.697265625,1.9230540999663972,0.5030139020089235,0.03126422142083132,0.00988661489616526,0.244140625,True
05.76,1,L23I,10.0,78.1005859375,1.2419483693056415,39.5263671875,2.610389902962549,0.5062877447769702,0.03553903081966314,0.011238428322505628,0.244140625,False
05.76,2,L4E,10.0,79.833984375,2.1866908923412116,38.57421875,2.1897174555784034,0.4832417358061617,0.025197225399798906,0.007968062298001134,0.244140625,False
05.76,3,L4I,10.0,79.7119140625,2.487759825461063,38.57421875,2.0906954066837775,0.4838008958286141,0.01807126272472367,0.005714635040542722,0.244140625,False
05.76,4,L5E,10.0,79.931640625,2.8937502167795244,40.673828125,2.2587956066836674,0.509209339477008,0.02895718962774226,0.009157067386106884,0.244140625,False
05.76,5,L5I,10.0,79.1259765625,2.250718225828672,39.5751953125,2.1421707153899385,0.50044598262029,0.02927710644638715,0.009258233966978172,0.244140625,True
05.76,6,L6E,10.0,78.02734375,1.578859936559606,38.76953125,2.248804787498567,0.4968510514390531,0.0269841303688351,0.008533131264443836,0.244140625,False
