rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.0,0,0,L23E,1000.0,300000,0.244140625,82.03125,0.0014522011297768871,43.212890625,0.005436619598948598,0.5267857142857143
05.0,0,1,L23I,1000.0,300000,0.244140625,83.251953125,0.00235484262437607,36.62109375,0.011247959632342264,0.4398826979472141
05.0,0,2,L4E,1000.0,300000,0.244140625,78.125,0.0180877533022958,39.794921875,0.06482438322005074,0.509375
05.0,0,3,L4I,1000.0,300000,0.244140625,77.63671875,0.00798816306159297,37.59765625,0.02499545883433579,0.48427672955974843
05.0,0,4,L5E,1000.0,300000,0.244140625,75.927734375,0.015309256700882783,43.701171875,0.041907005604605835,0.5755627009646302
05.0,0,5,L5I,1000.0,300000,0.244140625,80.810546875,0.0020032234183778247,39.794921875,0.007443905219657871,0.49244712990936557
05.0,0,6,L6E,1000.0,300000,0.244140625,83.0078125,0.007049341907390505,37.841796875,0.03333839083533664,0.45588235294117646
05.0,0,7,L6I,1000.0,300000,0.244140625,80.56640625,0.005495648939680159,35.888671875,0.021946659703274942,0.44545454545454544
05.0,1,0,L23E,1000.0,300000,0.244140625,79.1015625,0.005783985643876528,39.794921875,0.017547811755865995,0.5030864197530864
05.0,1,1,L23I,1000.0,300000,0.244140625,79.58984375,0.005520892693843885,41.50390625,0.01915870360876507,0.5214723926380368
05.0,1,2,L4E,1000.0,300000,0.244140625,76.171875,0.037382121459192036,41.9921875,0.10657159919620843,0.5512820512820513
05.0,1,3,L4I,1000.0,300000,0.244140625,79.833984375,0.011535650352268187,41.50390625,0.04033751085531439,0.5198776758409785
05.0,1,4,L5E,1000.0,300000,0.244140625,81.787109375,0.010815214790976775,38.57421875,0.04524574874689135,0.4716417910447761
05.0,1,5,L5I,1000.0,300000,0.244140625,77.880859375,0.003483339716221003,43.45703125,0.01017545940210157,0.5579937304075235
05.0,1,6,L6E,1000.0,300000,0.244140625,78.61328125,0.0062178284703446815,40.283203125,0.022544408233329136,0.5124223602484472
05.0,1,7,L6I,1000.0,300000,0.244140625,75.68359375,0.00935680746145168,42.96875,0.025991441266937525,0.567741935483871
05.0,2,0,L23E,1000.0,300000,0.244140625,76.904296875,0.0006006073241841739,40.52734375,0.0019230170071068825,0.526984126984127
05.0,2,1,L23I,1000.0,300000,0.244140625,77.880859375,0.0022788076041536883,36.62109375,0.0075542218173787696,0.4702194357366771
05.0,2,2,L4E,1000.0,300000,0.244140625,76.904296875,0.011552453130197189,36.376953125,0.041151772680252934,0.473015873015873
05.0,2,3,L4I,1000.0,300000,0.244140625,81.298828125,0.005506158336024073,39.0625,0.020297539721721925,0.4804804804804805
05.0,2,4,L5E,1000.0,300000,0.244140625,76.171875,0.013622975903117484,40.0390625,0.03939957404969183,0.5256410256410257
05.0,2,5,L5I,1000.0,300000,0.244140625,78.61328125,0.001626003918261888,40.771484375,0.005402344487078641,0.5186335403726708
05.0,2,6,L6E,1000.0,300000,0.244140625,75.927734375,0.012204285125696029,38.0859375,0.042484739694935485,0.5016077170418006
05.0,2,7,L6I,1000.0,300000,0.244140625,76.66015625,0.005870023856113891,39.794921875,0.015801167891422094,0.5191082802547771
05.0,3,0,L23E,1000.0,300000,0.244140625,76.66015625,4.0243278814991474e-05,36.62109375,0.00011412765370669895,0.47770700636942676
05.0,3,1,L23I,1000.0,300000,0.244140625,79.1015625,0.0013352887220646928,36.62109375,0.005686233284031757,0.46296296296296297
05.0,3,2,L4E,1000.0,300000,0.244140625,79.345703125,0.006052890295825807,36.376953125,0.0204896311397454,0.4584615384615385
05.0,3,3,L4I,1000.0,300000,0.244140625,79.58984375,0.004196944900825984,40.283203125,0.016004773115530977,0.5061349693251533
